Name,Level,code,head,Price,PUB
Aim High,Level 1,9780194453004,Student Book,503,OUP_Egypt
Aim High,Level 1,9780194454469,AIM HIGH 1 WB W/ ONL PRAC PK,341,OUP_Egypt
Aim High,Level 2,9780194453042,Student Book,503,OUP_Egypt
Aim High,Level 2,9780194454483,AIM HIGH 2 WB W/ ONL PRAC PK,352,OUP_Egypt
Aim High,Level 3,9780194453080,Student Book,514,OUP_Egypt
Aim High,Level 3,9780194453905,AIM HIGH 3 WB & ONL PK,363,OUP_Egypt
Aim High,Level 4,9780194453127,Student Book,524,OUP_Egypt
Aim High,Level 4,9780194453943,AIM HIGH 4 WB & ONL PK,363,OUP_Egypt
Aim High,Level 5,9780194453172,Student Book,524,OUP_Egypt
Aim High,Level 5,9780194453998,AIM HIGH 5 WB & ONL PK,363,OUP_Egypt
Aim High,Level 6,9780194454520,Student Book,524,OUP_Egypt
Aim High,Level 6,9780194454537,Workbook Pack,363,OUP_Egypt
Little Friends,Level 0,9780194432221,Classbook,250,OUP_Egypt
Everybody Up,Level 1,9780194103190,Student Book With Audio CD Pack,185,OUP_Egypt
Everybody Up,Level 1,9780194103220,Workbook,95,OUP_Egypt
Everybody Up,Level 2,9780194103374,Student Book With Audio CD Pack,185,OUP_Egypt
Everybody Up,Level 2,9780194103404,Workbook,95,OUP_Egypt
Everybody Up,Level 3,9780194103558,Student Book With Audio CD Pack,187,OUP_Egypt
Everybody Up,Level 3,9780194103589,Workbook,102,OUP_Egypt
Everybody Up,Level 4,9780194107372,Student Book With Audio CD Pack,201,OUP_Egypt
Everybody Up,Level 4,9780194103763,Workbook,108,OUP_Egypt
Everybody Up,Level 5,9780194103916,Student Book With Audio CD Pack,209,OUP_Egypt
Everybody Up,Level 5,9780194103947,Workbook,121,OUP_Egypt
Everybody Up,Level 6,9780194104098,Student Book With Audio CD Pack,215,OUP_Egypt
Everybody Up,Level 6,9780194104128,Workbook,127,OUP_Egypt
Family & Friends,Level 1,9780194812009,FAMILY & FRIENDS 1 CLB,374,OUP_Egypt
Family & Friends,Level 1,9780194812016,Workbook,210,OUP_Egypt
Family & Friends,Level 1,9780194802512,Reader A: The Little Red Hen,131,OUP_Egypt
Family & Friends,Level 1,9780194802529,Reader B: The Three Billy-Goats,131,OUP_Egypt
Family & Friends,Level 1,9780194802536,Reader C: The Sandcastle Competition,131,OUP_Egypt
Family & Friends,Level 1,9780194802543,Reader D: Benny and the Biscuits,131,OUP_Egypt
Family & Friends,Level 2,9780194812122,FAMILY & FRIENDS 2 CLB,374,OUP_Egypt
Family & Friends,Level 2,9780194812139,Workbook,210,OUP_Egypt
Family & Friends,Level 2,9780194802567,Reader A: The Town Mouse and the Country Mouse,131,OUP_Egypt
Family & Friends,Level 2,9780194802574,Reader B: The Shoemaker and the Elves,131,OUP_Egypt
Family & Friends,Level 2,9780194802581,Reader C: The Camping Trip,131,OUP_Egypt
Family & Friends,Level 2,9780194802598,Reader D: The Bear on the Stairs,131,OUP_Egypt
Family & Friends,Level 3,9780194812245,FAMILY & FRIENDS 3 CLB,374,OUP_Egypt
Family & Friends,Level 3,9780194812252,Workbook,212,OUP_Egypt
Family & Friends,Level 3,9780194802611,Reader A: Snow White,146,OUP_Egypt
Family & Friends,Level 3,9780194802628,Reader B: Sinbad,146,OUP_Egypt
Family & Friends,Level 3,9780194802635,Reader C: Pinocchio,146,OUP_Egypt
Family & Friends,Level 3,9780194802642,Reader D: Two Kites,146,OUP_Egypt
Family & Friends,Level 4,9780194802673,FAMILY & FRIENDS 4 CB,392,OUP_Egypt
Family & Friends,Level 4,9780194802727,Workbook,232,OUP_Egypt
Family & Friends,Level 4,9780194802680,Reader A: Sherlock Holmes and the Blue Diamond,151,OUP_Egypt
Family & Friends,Level 4,9780194802697,Reader B: A Little Princess,151,OUP_Egypt
Family & Friends,Level 4,9780194802703,Reader C: The Lost World,151,OUP_Egypt
Family & Friends,Level 4,9780194802710,Reader D: Changing Places,151,OUP_Egypt
Family & Friends,Level 5,9780194802833,FAMILY & FRIENDS 5 CB,414,OUP_Egypt
Family & Friends,Level 5,9780194802888,Workbook,237,OUP_Egypt
Family & Friends,Level 5,9780194802840,Reader A: The Jungle Book,160,OUP_Egypt
Family & Friends,Level 5,9780194802857,Reader B: Around the World in Eighty Days,160,OUP_Egypt
Family & Friends,Level 5,9780194802864,Reader C: Grace Darling,160,OUP_Egypt
Family & Friends,Level 5,9780194802871,Reader D: To the Rescue,160,OUP_Egypt
Family & Friends,Level 6,9780194802987,FAMILY & FRIENDS 6 CB,424,OUP_Egypt
Family & Friends,Level 6,9780194803038,Workbook,248,OUP_Egypt
Family & Friends,Level 6,9780194802994,Reader A: The Prisoner of Zenda,171,OUP_Egypt
Family & Friends,Level 6,9780194803007,Reader B: The Secret Garden,171,OUP_Egypt
Family & Friends,Level 6,9780194803014,Reader C: Information Technology,171,OUP_Egypt
Family & Friends,Level 6,9780194803021,Reader D: The Merchant of Venice,171,OUP_Egypt
Family & Friends Second Edition,Starter,9780194808286,Family & Friends 2E: Starter Class Book Pack,321,OUP_Egypt
Family & Friends Second Edition,Starter,9780194808019,Family & Friends 2E: Starter Workbook,180,OUP_Egypt
Family & Friends Second Edition,Starter,9780194808613,FAMILY & FRIENDS 2E START WB&ONL PRAC PK,226,OUP_Egypt
Family & Friends Second Edition,Level 1,9780194808293,Family & Friends 2E: 1 Class Book Pack,362,OUP_Egypt
Family & Friends Second Edition,Level 1,9780194808026,Family & Friends 2E: 1 Workbook,209,OUP_Egypt
Family & Friends Second Edition,Level 1,9780194808620,FAMILY & FRIENDS 2E 1 WB & ONL PRAC PK,292,OUP_Egypt
Family & Friends Second Edition,Level 2,9780194808309,Family & Friends 2E: 2 Class Book Pack,378,OUP_Egypt
Family & Friends Second Edition,Level 2,9780194808040,Family & Friends 2E: 2 Workbook,237,OUP_Egypt
Family & Friends Second Edition,Level 2,9780194808637,FAMILY & FRIENDS 2E 2 WB & ONL PRAC PK,292,OUP_Egypt
